GEOID,NAME,mean_noise,max_noise,min_noise
06037408707,4087.07,55.57263751763047,87.44918823242188,45.00510787963867
06037275312,2753.12,61.716641659768214,82.40299224853516,45.01333236694336
06037275605,2756.05,59.20892935739437,83.50829315185547,45.010589599609375
06037533108,5331.08,56.40638224283854,76.12571716308594,45.02153778076172
06037276101,2761.01,59.92463576858108,86.5715103149414,45.039268493652344
06047002403,24.03,51.29854100499092,64.4100341796875,45.00510787963867
06047002404,24.04,52.39509917996454,64.58486938476562,45.07316207885742
06047000404,4.04,54.138652566539925,70.42575073242188,45.00785446166992
06047001007,10.07,53.80615442745377,69.31712341308594,45.010589599609375
06047002305,23.05,56.8578125,76.52632904052734,45.02290725708008
06047002203,22.03,49.3120910945197,58.02157974243164,45.07450866699219
06047002303,23.03,57.082716975982535,79.40367126464844,45.010589599609375
06047002002,20.02,57.686924718286285,86.08419799804688,45.00236511230469
06047002306,23.06,50.5107990244709,71.18595886230469,45.73219680786133
06047002601,26.01,58.63322720903396,83.31224060058594,45.00510787963867
06047000305,3.05,57.14994744603413,83.17436218261719,45.0324592590332
06047002304,23.04,57.54931533780088,74.69527435302734,45.067752838134766
06047002001,20.01,55.65139826422372,73.41830444335938,45.00099182128906
06047000904,9.04,57.92717696629214,84.7943115234375,45.01606750488281
06047000903,9.03,56.12981534786869,83.56217193603516,45.00510787963867
06047001008,10.08,53.09393335459184,72.25825500488281,45.040626525878906
06047001604,16.04,53.53031227805398,75.73335266113281,45.0064811706543
06047000204,2.04,58.06204419983642,84.33929443359375,45.01880645751953
06047002602,26.02,54.098036827747464,73.47134399414062,45.00510787963867
06047002204,22.04,54.54421195652174,75.49983215332031,45.01743698120117
06047000403,4.03,55.41453373015873,79.61848449707031,45.024269104003906
06047001006,10.06,54.51725983796296,71.57456970214844,45.010589599609375
06047000205,2.05,58.55814302884615,84.48551940917969,45.01470184326172
06037139301,1393.01,58.74122527528548,88.7221450805664,45.00922393798828
06037139302,1393.02,58.69277728602217,88.02226257324219,45.01743698120117
06037139502,1395.02,53.98921423884514,84.83444213867188,45.0324592590332
06037139600,1396,56.447276585297416,84.95405578613281,45.0064811706543
06037139701,1397.01,55.92999183661778,85.08395385742188,45.00099182128906
06037139801,1398.01,52.45470952052696,61.826995849609375,45.04335021972656
06013324002,3240.02,60.13261185794543,87.80317687988281,45.020172119140625
06013320004,3200.04,58.8232396898977,85.302001953125,45.00373840332031
06013336201,3362.01,59.838055814676615,87.80317687988281,45.0947151184082
06013338203,3382.03,58.26031266208506,88.52601623535156,45.010589599609375
06013338204,3382.04,56.453416926156585,77.83760833740234,45.020172119140625
06013345204,3452.04,55.957873114224135,84.93038940429688,45.083953857421875
06013345203,3452.03,56.826634554643086,87.92532348632812,45.00099182128906
06013345112,3451.12,52.70985243055556,71.8497543334961,45.00099182128906
06013345113,3451.13,57.05637924024163,71.90612030029297,45.00236511230469
06037143500,1435,51.723118439885496,72.50420379638672,45.00236511230469
06037181000,1810,58.35996533360129,88.92707061767578,45.02290725708008
06037181500,1815,51.70727785669192,64.80868530273438,45.00099182128906
06037181600,1816,54.138348599137935,72.55513763427734,45.040626525878906
06037183101,1831.01,54.32384749483471,74.26836395263672,45.00236511230469
06001441402,4414.02,59.79922746282528,86.10340881347656,45.0528564453125
06001441501,4415.01,51.29158748592342,60.817073822021484,45.04878616333008
06001441521,4415.21,55.303336934840424,82.91146850585938,45.01606750488281
06001441522,4415.22,57.66404893663194,83.12178039550781,45.01880645751953
06001441601,4416.01,59.264519457547166,86.9099349975586,45.00099182128906
06037406103,4061.03,52.76305056126332,73.55643463134766,45.00785446166992
06037920339,9203.39,59.46060376723848,86.69874572753906,45.00922393798828
06037482521,4825.21,54.5376953125,74.91361999511719,45.020172119140625
06067001102,11.02,54.557339820636095,70.42181396484375,45.01470184326172
06067001201,12.01,55.53319076344937,70.44147491455078,45.00785446166992
06067006902,69.02,55.1118976523888,71.89209747314453,45.0324592590332
06067006802,68.02,55.72061285451681,69.40665435791016,45.24395751953125
06067001103,11.03,55.15706581147119,71.35450744628906,45.00922393798828
06001441602,4416.02,60.59983146948161,87.30701446533203,45.09336853027344
06037183220,1832.20,57.491666034587375,74.26836395263672,45.13351058959961
06037183300,1833,54.91648536392405,72.314697265625,45.02973175048828
06037183510,1835.10,50.94701028526376,58.48681640625,45.28402328491211
06037183520,1835.20,49.87242713341346,57.32152557373047,45.28402328491211
06037183610,1836.10,56.82134719122024,72.67874908447266,45.117496490478516
06037192300,1923,54.93455895712209,72.96226501464844,45.1014289855957
06001441800,4418,52.70948763420245,68.23604583740234,45.02836608886719
06001441921,4419.21,55.21085190488048,70.7335205078125,45.16667175292969
06037195400,1954,56.795883075842696,75.30072021484375,45.02153778076172
06113010104,101.04,50.7658771190768,67.96851348876953,45.058143615722656
06113010610,106.10,58.5431698069853,84.69232177734375,45.02290725708008
06113011208,112.08,57.00927873060957,85.74147033691406,45.00099182128906
06113011301,113.01,56.24083445793972,79.3206787109375,45.00099182128906
06113010313,103.13,49.46703201781327,65.24006652832031,45.0064811706543
06113010103,101.03,54.74996251199616,84.24800109863281,45.01880645751953
06113010105,101.05,52.43236662212171,78.60816955566406,45.01798629760742
06113010315,103.15,54.58052327186396,65.7322006225586,45.00373840332031
06001441923,4419.23,54.715633680555555,72.72537994384766,45.00785446166992
06001442100,4421,55.5512987012987,75.60862731933594,45.02290725708008
06001442400,4424,55.12344845210281,72.3603286743164,45.01333236694336
06037183820,1838.20,60.412032702737605,82.17483520507812,45.0542106628418
06037185202,1852.02,53.330930019946805,72.80577850341797,45.05149841308594
06037185310,1853.10,57.02381310096154,72.73233032226562,45.10008239746094
06037405101,4051.01,49.654947916666664,57.072296142578125,45.185142517089844
06037185320,1853.20,57.64441204518779,89.54965209960938,45.04335021972656
06037481603,4816.03,57.522617529154516,76.38788604736328,45.00099182128906
06037481001,4810.01,56.39548601422991,77.11385345458984,45.040626525878906
06037404600,4046,58.11281089788,89.45616912841797,45.00236511230469
06037800406,8004.06,55.42267777004024,76.78153991699219,45.00099182128906
06037800410,8004.10,57.915254068283346,78.57694244384766,45.00099182128906
06037800504,8005.04,58.149366387795276,81.10926818847656,45.00510787963867
06037800506,8005.06,58.88927957670043,81.10926818847656,45.00510787963867
06067009409,94.09,52.05749662422839,64.47468566894531,45.03791046142578
06067009643,96.43,56.45867402674788,73.81295776367188,45.03382110595703
06067007604,76.04,55.64606881648936,75.51449584960938,45.05014419555664
06067009652,96.52,55.44147324068599,77.3719253540039,45.00373840332031
06067009336,93.36,57.315355895352155,84.25370788574219,45.00785446166992
06067007111,71.11,49.865869537601625,56.590599060058594,45.13616943359375
06067009647,96.47,51.78287410394265,60.021663665771484,45.09067916870117
06067001702,17.02,60.37738641211604,87.38780975341797,45.03382110595703
06067009649,96.49,52.301064872112214,66.87261962890625,45.00785446166992
06067009648,96.48,52.41901312934028,66.86636352539062,45.09067916870117
