zcta,noise_mean_db,noise_max_db,noise_min_db,median_household_income,unemployment_rate,population,pnhwhite,pnhblack,phispanic,pforeign_born,punemployed,affluence,disadvantage,median_family_income,home_value,poverty_rate
90020,54.46069190877883,67.29883214636807,45.2881399498813,61184.0,66.1,38400.0,0.1156250014901,0.0666666701436,0.3365885317326,0.5404427051544,0.068467117846,0.3505252599716,0.2145384699106,57425.0,687696.7248023074,15.5
90021,58.682284779821,88.04105466790301,45.00236511230469,32222.0,53.9,2781.0,0.1966918408871,0.2078389078379,0.4804027378559,0.3498741388321,0.1326072961092,0.2252999842167,0.4512634277344,29767.0,877344.2686522087,39.8
90022,56.536868425909724,79.57994653954336,45.03945335996254,67967.0,58.7,64147.0,0.0146538419649,0.0043961526826,0.9645501971245,0.3806881010532,0.0569628104568,0.1543517559767,0.2099546045065,67868.0,682109.1843873914,13.5
90023,58.237740340611005,83.63045175090099,45.07163411671459,59057.0,54.0,44558.0,0.0179092418402,0.0096503430977,0.9573364853859,0.3964720070362,0.0879137441516,0.1137670129538,0.2729486227036,55289.0,642944.4837710821,18.6
90024,54.85043287848408,69.59994724402729,45.10143356302035,76583.0,45.6,50392.0,0.4947213828564,0.0417129695415,0.1309533268213,0.295146048069,0.0973090082407,0.6460641622543,0.1612204015255,158640.0,1357573.511635893,7.7
90025,56.455638053111976,82.5251836016275,45.08653585234747,103894.0,68.8,44429.0,0.5505863428116,0.0339868105948,0.1266290098429,0.3196560740471,0.0692951828241,0.6469666361809,0.0958752334118,137421.0,1083425.319291659,6.7
90026,57.66365186571337,81.36466759139469,45.151835686636076,87334.0,67.0,64769.0,0.2999583184719,0.0360975153744,0.4851858019829,0.3490250110626,0.0767430886626,0.413173854351,0.1946574300528,80211.0,1188465.066844561,11.9
90027,56.106796843573825,75.0896143196728,45.065278644333084,94521.0,67.7,45764.0,0.5881915688515,0.0333886891603,0.2198890000582,0.2948168814182,0.0839362293482,0.5473226308823,0.1524592041969,108981.0,1817875.057973296,8.1
90028,57.766966954758736,80.06442016387848,45.04784250186471,61349.0,64.8,30982.0,0.4227293133736,0.0871473774314,0.2871990203857,0.3661158084869,0.1033482328057,0.4103924632072,0.2321366071701,65600.0,868060.8515932577,10.0
90029,56.93692903271234,77.69910101943903,45.0867897403937,60440.0,59.1,34649.0,0.2715229988098,0.0305347926915,0.5106063485146,0.500735938549,0.1005911305547,0.3134516179562,0.2251050919294,67687.0,978884.3112063708,14.2
90030,56.42578643070292,75.29173278808594,45.00922393798829,,,,,,,,,,,,,
90031,58.095556387591095,81.89912154333106,45.05368861107185,63090.0,59.2,37457.0,0.0827348679304,0.0183944255114,0.5903569459915,0.4623434841633,0.0873876512051,0.2444838583469,0.2237604707479,61725.0,814520.7026749732,16.3
