tract_id,tract_name,noise_mean_db,noise_max_db,noise_min_db
6073018608,186.08,45.98680877685547,45.98680877685547,45.98680877685547
6073005900,59.0,57.49875372023809,86.75778198242188,45.00236511230469
6073020500,205.0,57.3350587144623,86.68666076660156,45.00373840332031
6073019001,190.01,55.439268403215635,82.61262512207031,45.01606750488281
6073009505,95.05,57.25383179335193,82.94465637207031,45.00785446166992
6073003208,32.08,55.88119461287314,84.1946029663086,45.00922393798828
6073013414,134.14,53.39638876748252,63.25105285644531,45.01470184326172
6073013415,134.15,53.083905287191904,62.250511169433594,45.251747131347656
6073013416,134.16,51.08582543545082,62.38798522949219,45.070457458496094
6073013417,134.17,58.19771758780992,77.47722625732422,45.020172119140625
6073013418,134.18,54.70270516939252,74.46070861816406,45.01743698120117
6073018517,185.17,57.97156877596953,85.16006469726562,45.024269104003906
6073018518,185.18,58.926852584388186,85.16006469726562,45.1414909362793
6073018519,185.19,58.25550230589207,83.80210876464844,45.025634765625
6073018601,186.01,55.18920147235577,85.29045104980469,45.00510787963867
6073008303,83.03,52.811328125,76.69688415527344,45.020172119140625
6073006200,62.0,56.51520384097035,76.00428009033203,45.020172119140625
6073012200,122.0,60.16102474220322,88.79153442382812,45.0064811706543
6073020706,207.06,56.2006848972237,76.75503540039062,45.00373840332031
6073000700,7.0,58.651294024837135,83.56217193603516,45.01880645751953
6073000800,8.0,52.37939840649802,62.764617919921875,45.11616134643555
6073013505,135.05,56.59232954545455,78.99929809570312,45.04335021972656
6073013506,135.06,55.4412890625,79.04174041748047,45.02700424194336
6073013604,136.04,58.67987351190476,77.78874206542969,45.05828094482422
6073013802,138.02,52.68703593104339,74.17139434814453,45.07316207885742
6073018609,186.09,,,
6073001000,10.0,56.59478635204081,74.8415756225586,45.0528564453125
6073001100,11.0,54.759376216900314,83.08991241455078,45.13484191894531
6073001400,14.0,52.12789818548387,60.937721252441406,45.024269104003906
6073001500,15.0,55.01413352272727,80.00868225097656,45.01333236694336
6073013905,139.05,48.38662997159091,50.97257232666016,47.9483642578125
6073013907,139.07,51.0845947265625,54.38067626953125,45.80126190185547
6073013908,139.08,54.91835674452862,82.44525146484375,45.03654479980469
6073013909,139.09,50.86692162958115,57.96643829345703,45.37944793701172
6073014001,140.01,58.03352388211382,86.09808349609375,45.00922393798828
6073019206,192.06,52.473290094339625,60.468849182128906,45.010589599609375
6073019404,194.04,56.67452418550532,73.75663757324219,45.055572509765625
6073019405,194.05,59.17383400790663,83.61727905273438,45.067752838134766
6073019406,194.06,61.74779156454248,84.10945892333984,45.01333236694336
6073014002,140.02,61.77163811953353,86.11298370361328,45.0542106628418
6073014101,141.01,51.423674738219894,64.41381072998047,45.09067916870117
6073014102,141.02,52.65713016362661,65.52059936523438,45.07316207885742
6073014200,142.0,53.5027977195946,65.19828033447266,45.10008239746094
6073014601,146.01,53.23260575699746,74.16973114013672,45.024269104003906
6073015704,157.04,53.72727382330247,71.80699157714844,45.0542106628418
6073019501,195.01,56.47215947690217,73.77306365966797,45.020172119140625
6073001600,16.0,58.28170823317308,86.2746810913086,45.00785446166992
6073001700,17.0,61.26848825467687,85.09471130371094,45.00099182128906
6073019502,195.02,52.41234241832387,61.43014907836914,45.020172119140625
6073019804,198.04,57.55427918118467,78.05500793457031,45.02153778076172
6073019805,198.05,56.986741922669495,83.76759338378906,45.04606628417969
6073021302,213.02,54.24880389064143,72.26342010498047,45.00922393798828
6073009504,95.04,59.02958253613946,84.76106262207031,45.01333236694336
6073019205,192.05,52.33289473684211,60.468849182128906,45.010589599609375
6073017041,170.41,55.600376674107146,75.50350952148438,45.109466552734375
6073017810,178.1,57.79930191972077,86.2910385131836,45.02153778076172
6073020903,209.03,53.987534423767,68.74307250976562,45.00099182128906
6073014300,143.0,51.95868189988938,60.54996109008789,45.00922393798828
6073014500,145.0,59.72915069018405,85.51449584960938,45.04335021972656
6073014804,148.04,57.17633120888158,75.86924743652344,45.035179138183594
6073010800,108.0,56.260546875,76.4591293334961,45.07316207885742
6073008902,89.02,60.12734183046683,87.33197021484375,45.01470184326172
6073007100,71.0,55.33437370224252,71.8639144897461,45.011962890625
6073006802,68.02,52.03174402573529,67.34159851074219,45.02153778076172
6073020023,200.23,58.729081117761694,84.86004638671875,45.00236511230469
6073018803,188.03,57.027481155778894,81.897705078125,45.00236511230469
6073013701,137.01,56.40603390957447,79.35305786132812,45.056922912597656
6073020904,209.04,55.16605944085656,68.74307250976562,45.00236511230469
6073016806,168.06,56.40614461555755,70.58805847167969,45.00785446166992
6073019602,196.02,52.16107616734339,62.61262893676758,45.0324592590332
6073019203,192.03,52.26923567321958,59.09449005126953,45.063697814941406
