zcta,population,pnhwhite,pnhblack,phispanic,pforeign_born,punemployed,poverty_rate,affluence,disadvantage,median_family_income
42133,1180,0.9847457408905,0.002542372793,0.0076271188445,0.0042372881435,0.082608692348,0.1245762705803,0.2028145939112,0.1504249721766,65952.0
42134,19185,0.849152982235,0.094500914216,0.0280948653817,0.0089132133871,0.0347127988935,0.1501478850842,0.193615436554,0.1812561303377,68275.0
42140,1197,0.9657477140427,0.0,0.0108604840934,0.0091896411031,0.0473815463483,0.2666105926037,0.2116690725088,0.275804489851,50726.0
42141,31732,0.8842177987099,0.0373755209148,0.0415038429201,0.0302848853171,0.0477861203253,0.1826294958591,0.2442271262407,0.2030641287565,61411.0
42154,482,1.0,0.0,0.0,0.0,0.0,0.0331950224936,0.1592290848494,0.1022163704038,46710.0
42157,584,1.0,0.0,0.0,0.0,0.0,0.1506849378347,0.3067852258682,0.2055658847094,104188.0
42159,1384,0.8388728499413,0.0527456663549,0.1054913327098,0.0007225433365,0.0012121212203,0.0318148955703,0.3030682504177,0.057301864028,62394.0
42160,2192,0.8677007555962,0.0360401459038,0.0515510961413,0.0269160587341,0.0,0.3451612889767,0.1581212729216,0.2842760980129,71375.0
42164,16843,0.9320192337036,0.0099150985479,0.0273704212159,0.0187021307647,0.0709669217467,0.1671598553658,0.2149988859892,0.1834078282118,72940.0
42166,2323,0.9836418628693,0.0,0.0,0.0,0.0,0.2690486311913,0.2127856612206,0.2436660826206,53478.0
42167,8442,0.9140014052391,0.0345889590681,0.0415778234601,0.017294479534,0.0624352321029,0.2234029769897,0.1866334229708,0.2673411369324,58231.0
42170,1378,0.9673439860344,0.0166908558458,0.0,0.0137880984694,0.0447154454887,0.110692769289,0.1829892545938,0.0816290229559,64167.0
42171,7073,0.9342570304871,0.0207832604647,0.0083415806293,0.0065036052838,0.0393904559314,0.1644680202007,0.2247801572084,0.1560632288456,80862.0
42202,1756,0.8063781261444,0.0740318894386,0.0523918010294,0.0045558088459,0.0505050495267,0.1856492012739,0.2002115249634,0.1798904687166,63063.0
