zcta,noise_mean_db,noise_max_db,noise_min_db
90506,56.8621350653457,76.83136749267578,45.083953857421875
90507,57.393432296231374,74.6434097290039,45.04878616333007
90508,57.393432296231374,74.6434097290039,45.04878616333008
90601,56.22619620300894,78.9954455495541,45.031567766551106
90602,55.288364929575806,74.46576192220313,45.0273842480681
90603,56.38460766427867,76.71456874016238,45.00994871308662
90604,56.639562593946955,75.42835604780569,45.05557313725893
90605,55.2170536558113,75.32327905628756,45.04093141052696
90606,56.96229389790094,81.87647971351385,45.01874624904237
90607,54.765351149140216,74.69969177246094,45.06910705566406
90608,51.91848124354339,62.69979476928711,45.09202575683594
90609,57.25371683054957,76.33164978027344,45.010589599609375
90620,56.5561529778361,80.64877757666436,45.0372667291505
90621,58.22012033886955,85.30664316577285,45.022455288360845
90622,57.36319633152174,90.41392517089844,45.0528564453125
90623,57.2026671447127,81.25302314166255,45.03901074543566
90630,56.01011866439534,73.6804625551402,45.03663625266717
90631,56.33901424153202,76.12903343176242,45.02827938184089
90632,58.2482824659533,80.3462905883789,45.0064811706543
90633,52.12261682912845,73.88456726074219,45.0704574584961
90637,56.681224913990825,74.67607879638672,45.01606750488281
90638,56.948563991858364,77.37043017475362,45.03784327012316
90639,56.500394292840376,74.53623962402344,45.12550735473633
90640,57.43374749335576,80.59363667292388,45.03222841566417
90650,57.027337723473536,80.37164641973632,45.03173479271765
90651,56.51407952264909,75.67025756835938,45.010589599609375
90660,56.67606064814971,76.3887550425791,45.03931346416272
90662,56.79099693480861,75.72406768798828,45.02973175048828
90670,58.849378164901964,89.50774167614033,45.01012603351572
90680,57.190884570562005,79.39622244225795,45.03379654344868
90701,55.2470272960289,78.29334179342989,45.01006501356344
90702,53.36495452425373,71.41449737548828,45.00236511230469
90703,55.96691661469761,82.60833344947395,45.02579901488732
90704,48.24000203264721,51.73101234436035,47.474117279052734
90706,55.488230359195114,79.18007473666998,45.047726789389976
90707,51.70680190577651,69.77357482910156,45.01606750488281
90710,58.59384605439152,79.91854957287711,45.04913743253098
90711,51.17896393296632,61.99481201171875,45.010589599609375
90712,54.4848264235898,71.17928231611783,45.0121396883773
90713,54.659903213836486,73.28404749782749,45.02878894377158
90714,55.83550715042373,77.03291320800781,45.00236511230469
90715,58.65360135663062,87.08337783813477,45.05477333068848
90716,56.84769450491881,79.52683440478415,45.07253527981201
90717,56.86567202058422,77.21510783111928,45.046392035711094
90720,58.58611347361263,84.54287811891055,45.02790345041183
90721,57.33918819348128,86.3692398071289,45.039268493652344
90723,57.946824604899895,79.87009101875502,45.03851681566043
90731,54.46975775122378,72.03596211848479,45.05500467253982
90732,56.29174722071167,78.19504530714279,45.01371632795742
90733,49.823722839355476,64.07220458984375,45.00922393798828
90734,58.564270732003884,76.43354034423828,45.02700424194335
90740,56.81298493647743,82.84664699586179,45.03389525125726
90742,58.50049692815684,78.21186065673827,45.074040386911705
90743,58.1522019389439,78.21186065673828,45.067752838134766
90744,57.60274122288075,80.37290513925025,45.05326639007709
90745,58.37731304709211,82.46030812924242,45.01875463960303
90746,57.07167889230663,81.64528116624291,45.02205091667429
90747,55.19590701608784,85.50473022460938,45.00236511230469
90748,56.77748325892857,76.93814849853516,45.040626525878906
90749,59.34584842510198,88.84928821715759,45.01840240114059
90755,55.95722411953616,81.08154226310076,45.016482206566
90801,55.0188005596188,74.8826904296875,45.01606750488281
90802,54.82232852432822,74.48578945132608,45.04385308780143
90803,54.843211206854534,74.42124359892162,45.05115884597303
90804,55.08853635982429,72.60133486947453,45.08302656742167
90805,56.9235764878967,78.32158770758531,45.08217660766991
90806,57.22188450433971,78.67594737418861,45.03424745921574
90807,55.380148158835866,77.98000256627611,45.02057302055915
90808,56.227409570528394,78.05388964524182,45.01617630166111
90809,57.49786792375654,87.06034851074219,45.020172119140625
90810,56.96682833175401,79.95605786641438,45.622585932413735
90813,54.613741324853805,74.194322722283,45.07532514452272
90814,53.87091433900573,73.98618081525225,45.0717271217074
90815,57.644478321010574,82.1780838448746,45.03801636793627
90822,57.68019849915189,84.30019887288411,45.0115000406901
90831,56.93438995215311,78.91537475585938,45.0064811706543
90832,56.93438995215311,78.91537475585938,45.0064811706543
90833,56.93438995215311,78.91537475585938,45.0064811706543
90844,56.93438995215311,78.91537475585938,45.0064811706543
90846,54.98946391148915,76.418701171875,45.00785446166992
90853,53.92905148591457,73.23458099365234,45.14783987439463
90895,55.80551837149188,80.23252868652344,45.01743698120117
91001,52.97859697038431,69.18627964597718,45.05649257077339
91003,53.958169985333925,70.49993133544922,45.035179138183594
91006,56.50352929620234,80.67556510966638,45.034669270655186
91007,55.31555547374469,76.62672655887427,45.009377929975244
91008,49.994620525877565,58.75502470365411,45.00252411131285
91009,57.380127494456765,88.70404052734375,45.00373840332031
91010,52.58148810498026,68.11095225109929,45.005427372012434
91011,55.42790651387219,80.42642947199825,45.003209337448865
91012,57.15422070456218,86.64077758789062,45.00099182128906
91016,55.711818019807886,77.66388025427953,45.03636705105392
91020,59.53199871558575,86.06120339425576,45.00647931280727
91024,51.905963573306,66.02439481714316,45.00926769674646
91025,53.63142534905163,73.79849243164062,45.00922393798828
91030,53.35590534996979,73.97278060038249,45.107095010130706
91031,53.85341198979592,76.38389587402344,45.025634765625
91040,54.52073037424729,74.65396534544938,45.016696995321354
91042,55.251159367457674,73.712965448598,45.064916137598544
91066,57.03515625,87.89369201660156,45.09739685058594
91077,52.19759265988372,62.35023117065429,45.01333236694336
91101,56.94930738892687,82.23239966225863,45.03225624248257
91102,59.994258106203006,89.2629165649414,45.025634765625
91103,56.23794054687129,82.38181668442868,45.0505821722097
91104,53.43647463535851,68.12329651111799,45.03099597691656
91105,56.078786536961985,83.69513214435769,45.008171769668365
91106,55.859015221882785,81.73086699988316,45.02238468328179
91107,55.22226033021238,79.4944345862652,45.018445650204576
91108,54.14682350074601,75.85519080989278,45.00711790894824
91109,59.359398425787106,89.2629165649414,45.04335021972656
91114,52.15942796610169,60.68185806274414,45.17063903808594
91115,56.79986485485782,86.6048583984375,45.0064811706543
91116,58.50368854498408,87.7070541381836,45.056922912597656
91117,54.732533084964416,72.61500549316406,45.00373840332031
91118,54.11803513846738,75.70309448242188,45.0064811706543
91121,58.45130119453925,91.0754852294922,45.00373840332031
91123,56.79986485485782,86.6048583984375,45.0064811706543
91124,59.994258106203006,89.2629165649414,45.025634765625
91125,52.44003507653061,71.58663940429688,45.020172119140625
91126,52.44003507653061,71.58663940429688,45.020172119140625
91129,56.79986485485782,86.6048583984375,45.0064811706543
91182,59.1484744210775,89.1550521850586,45.0419921875
91184,56.79986485485782,86.6048583984375,45.0064811706543
91185,56.11373662340619,76.38389587402344,45.020172119140625
91188,59.994258106203006,89.2629165649414,45.025634765625
91189,54.79891768292683,79.17243194580078,45.020172119140625
91199,59.994258106203006,89.2629165649414,45.025634765625
91201,53.99423897485959,70.4917389641711,45.03964733224756
91202,52.59815714568257,68.62088703872462,45.05866361309277
91203,55.88325374291943,79.23055185604184,45.03762668619695
