zip_code,State,county_name,home_value
95210,CA,San Joaquin County,394283.9195067249
92019,CA,San Diego County,878757.4344094096
90025,CA,Los Angeles County,1083425.319291659
91320,CA,Ventura County,1029099.698461119
91367,CA,Los Angeles County,1128294.6573186724
93726,CA,Fresno County,330027.62973283674
90043,CA,Los Angeles County,833114.2875552451
94582,CA,Contra Costa County,1766708.2910098035
94403,CA,San Mateo County,1835098.0488647532
93534,CA,Los Angeles County,417050.6015990441
95762,CA,El Dorado County,920376.2382418878
90241,CA,Los Angeles County,932177.85202537
94901,CA,Marin County,1427459.7215813256
94804,CA,Contra Costa County,577529.9909785683
92506,CA,Riverside County,705953.9437399203
90016,CA,Los Angeles County,944420.1629104835
95831,CA,Sacramento County,635892.0788591673
95209,CA,San Joaquin County,489034.9094091844
90503,CA,Los Angeles County,1307122.5534622262
95380,CA,Stanislaus County,447674.3990937547
92101,CA,San Diego County,734029.4825681237
95407,CA,Sonoma County,635493.5314355544
95337,CA,San Joaquin County,648372.9365583573
91733,CA,Los Angeles County,762701.9278468828
94025,CA,San Mateo County,2902646.8285920895
96003,CA,Shasta County,405766.7577700822
94066,CA,San Mateo County,1310825.2547053872
91748,CA,Los Angeles County,967941.6285611576
94116,CA,San Francisco County,1574856.4273219963
92688,CA,Orange County,1029956.2144093273
94010,CA,San Mateo County,3465868.7884344608
91765,CA,Los Angeles County,1039210.3277103478
90024,CA,Los Angeles County,1357573.511635893
95404,CA,Sonoma County,821783.4484539066
95991,CA,Sutter County,406315.0187593063
92102,CA,San Diego County,742868.6499715891
92308,CA,San Bernardino County,413554.2958948564
95628,CA,Sacramento County,620478.5901491136
95050,CA,Santa Clara County,1660321.978340268
91311,CA,Los Angeles County,946140.2924962525
90007,CA,Los Angeles County,900870.502815485
94117,CA,San Francisco County,1589530.570367771
92545,CA,Riverside County,450763.1525312195
91360,CA,Ventura County,1024750.7684336914
90806,CA,Los Angeles County,793285.186505504
90815,CA,Los Angeles County,1050269.8171209467
90059,CA,Los Angeles County,616395.7744430095
95826,CA,Sacramento County,473079.9478627625
90501,CA,Los Angeles County,998967.3176483448
94566,CA,Alameda County,1741683.8015767436
92867,CA,Orange County,1248567.55062817
92236,CA,Riverside County,431875.5221404694
93552,CA,Los Angeles County,498505.9932815362
90278,CA,Los Angeles County,1419174.2940801706
95205,CA,San Joaquin County,328322.5046145564
95926,CA,Butte County,436999.67475417955
94118,CA,San Francisco County,2097676.826511113
94521,CA,Contra Costa County,793332.7725477787
90605,CA,Los Angeles County,798613.1830477184
90275,CA,Los Angeles County,1836517.882693017
94611,CA,Alameda County,1405057.83940091
91016,CA,Los Angeles County,992771.2613969268
91942,CA,San Diego County,820788.8210856094
92802,CA,Orange County,960686.9500605584
91401,CA,Los Angeles County,1124335.23273573
94531,CA,Contra Costa County,668130.934039506
92591,CA,Riverside County,748100.9789676951
95132,CA,Santa Clara County,1679342.527565655
94561,CA,Contra Costa County,665613.689052063
94583,CA,Contra Costa County,1414724.321590974
94121,CA,San Francisco County,1738109.48948905
91606,CA,Los Angeles County,885038.0722701801
91387,CA,Los Angeles County,813096.2374093039
93637,CA,Madera County,404708.7065951852
92307,CA,San Bernardino County,455925.8900399403
95973,CA,Butte County,502825.70656216657
92596,CA,Riverside County,660681.586480989
95765,CA,Placer County,725702.2740850208
91350,CA,Los Angeles County,819259.4559526664
90810,CA,Los Angeles County,715311.3542783968
95621,CA,Sacramento County,452371.04836009577
95691,CA,Yolo County,564199.9070988573
90604,CA,Los Angeles County,834607.7818926607
95838,CA,Sacramento County,397794.44504066993
95120,CA,Santa Clara County,2311979.3038122584
95129,CA,Santa Clara County,2721587.6711329515
92806,CA,Orange County,1005596.4277566882
95695,CA,Yolo County,520858.1319984515
95835,CA,Sacramento County,575162.680570629
91739,CA,San Bernardino County,981419.3734989648
95833,CA,Sacramento County,458931.08998846245
91701,CA,San Bernardino County,842701.8354075303
93706,CA,Fresno County,287983.6725919509
90045,CA,Los Angeles County,1517996.7417370032
90808,CA,Los Angeles County,1040666.1088447968
94134,CA,San Francisco County,1071723.3857592186
