zcta,median_household_income,poverty_rate,unemployment_rate
02663,83587.0,0.0,35.4
02664,82125.0,9.8,53.4
02666,121750.0,0.0,48.9
02667,121110.0,4.2,48.3
02668,111731.0,1.4,72.9
02670,87019.0,1.7,34.1
02671,104583.0,0.0,40.6
02672,,,
02673,73854.0,8.2,54.6
02675,110450.0,4.2,53.5
02702,153038.0,3.5,63.9
02703,99152.0,5.7,68.2
02713,79167.0,0.0,91.3
02715,140066.0,0.0,70.2
02717,130625.0,0.7,66.9
02718,109500.0,5.9,69.3
02719,95965.0,6.3,57.6
02720,62196.0,12.5,57.9
02721,52841.0,17.2,59.3
02723,47633.0,19.4,56.0
02724,55590.0,17.8,57.4
02725,129253.0,0.0,61.2
02726,111046.0,2.5,61.4
02738,143092.0,3.9,54.3
02739,130241.0,2.4,62.2
02740,55237.0,15.0,55.2
02743,89593.0,5.4,61.9
02744,58675.0,11.9,59.0
02745,74034.0,14.0,63.1
02746,41917.0,32.8,52.3
02747,102079.0,3.0,53.8
02748,97361.0,2.0,55.5
02760,112027.0,2.4,68.4
02762,104106.0,3.8,61.4
02763,114337.0,3.9,62.2
02764,135640.0,0.0,65.0
02766,124535.0,1.9,61.2
02767,124105.0,8.6,67.2
02769,138214.0,1.7,68.0
02770,120320.0,4.5,67.4
02771,120613.0,3.0,62.6
02777,116364.0,1.5,60.9
02779,144205.0,1.1,66.3
02780,74471.0,9.8,62.8
02790,97250.0,7.1,61.5
02791,130833.0,0.0,79.0
02802,116159.0,0.0,75.5
02804,102118.0,6.8,74.1
02806,153198.0,4.5,65.1
02807,83190.0,0.0,51.6
02808,106681.0,1.9,65.4
02809,97764.0,3.5,57.3
02812,104934.0,0.0,66.2
02813,109404.0,1.0,59.8
02814,110764.0,0.4,60.3
02815,126071.0,0.0,68.9
02816,101431.0,5.6,63.7
02817,135625.0,0.0,61.2
02818,139217.0,3.1,64.6
02822,112813.0,5.7,62.7
02823,31607.0,0.0,72.9
02824,203508.0,0.0,59.9
02825,112593.0,1.1,69.6
02826,78843.0,0.0,74.0
02827,152305.0,0.5,58.1
02828,97196.0,2.4,52.9
02829,,0.0,100.0
02830,121111.0,1.2,63.0
02831,137181.0,1.2,69.7
02832,105976.0,3.5,62.0
02833,,11.0,58.1
02835,140625.0,3.4,53.3
02836,,0.0,53.6
02837,134750.0,0.9,52.4
02838,97273.0,11.4,63.6
02839,97292.0,4.2,66.4
02840,86250.0,10.9,54.3
02841,181458.0,0.0,9.2
02842,101948.0,5.9,56.4
02852,118643.0,5.8,62.2
02857,108679.0,4.0,60.8
02858,128568.0,0.0,55.6
02859,124592.0,6.4,61.5
02860,61539.0,11.9,64.1
02861,83411.0,6.6,67.2
02863,49285.0,19.6,57.7
02864,117522.0,2.7,67.0
02865,105958.0,3.7,60.1
02871,116831.0,2.5,61.4
02872,131875.0,0.0,25.0
02873,46406.0,0.0,42.7
02874,159861.0,0.8,63.7
02875,,,100.0
02876,,0.0,80.5
02878,106036.0,2.5,63.6
02879,112231.0,5.1,57.0
02881,56472.0,26.0,38.1
02882,95721.0,2.5,51.6
02885,90729.0,3.6,63.4
02886,92047.0,2.3,64.5
02888,91867.0,4.7,62.8
02889,83946.0,6.4,59.0
02891,97110.0,2.4,58.9
02892,135809.0,1.5,70.5
02893,77608.0,4.3,64.9
02894,,0.0,69.1
02895,61059.0,14.4,58.1
02896,108983.0,2.4,65.7
02898,119038.0,7.3,66.8
02903,64476.0,6.1,55.9
02904,67003.0,14.6,59.0
02905,62908.0,9.7,59.9
02906,103050.0,3.9,63.5
02907,52485.0,15.5,59.6
02908,73081.0,13.2,63.8
02909,64649.0,19.8,60.8
02910,90698.0,8.9,69.7
02911,89456.0,7.4,64.3
02912,,,28.3
02914,61191.0,9.8,57.3
02915,84414.0,6.1,60.9
02916,95263.0,5.6,64.7
02917,110938.0,5.2,57.7
02918,,,30.0
