zip_code,zcta
35763,35763.0
35767,35811.0
35773,35773.0
35801,35801.0
35802,35802.0
35803,35803.0
35804,35801.0
35805,35805.0
35806,35806.0
35807,35801.0
35808,35808.0
35809,35801.0
35810,35810.0
35811,35811.0
35812,35801.0
35813,35801.0
35814,35801.0
35815,35801.0
35816,35816.0
35824,35824.0
35893,35801.0
35894,35801.0
35895,35801.0
35896,35896.0
35897,35801.0
35898,35801.0
35899,35816.0
36732,36732.0
36736,36736.0
36738,36738.0
36745,36732.0
36748,36748.0
36754,36754.0
36763,36763.0
36764,36782.0
36782,36782.0
36783,36783.0
35543,35543.0
35548,35548.0
35563,35563.0
35564,35564.0
35570,35570.0
35594,35594.0
35016,35016.0
35175,35175.0
35747,35747.0
35950,35950.0
35951,35951.0
35956,35956.0
35957,35957.0
35964,35980.0
35976,35976.0
35980,35980.0
36421,36421.0
36505,36505.0
36509,36509.0
36512,36512.0
36521,36521.0
36522,36522.0
36523,36523.0
36525,36525.0
36528,36528.0
36541,36541.0
36544,36544.0
36560,36560.0
36568,36568.0
36571,36571.0
36572,36572.0
36575,36575.0
36582,36582.0
36587,36587.0
36590,36590.0
36601,36602.0
36602,36602.0
36603,36603.0
36604,36604.0
36605,36605.0
36606,36606.0
36607,36607.0
36608,36608.0
36609,36609.0
36610,36610.0
36611,36611.0
36612,36612.0
36613,36613.0
36615,36615.0
36616,36616.0
36617,36617.0
36618,36618.0
36619,36619.0
36628,36602.0
36633,36609.0
36640,36609.0
36641,36609.0
36644,36602.0
36652,36602.0
36660,36609.0
36663,36602.0
36670,36609.0
36671,36609.0
36675,36602.0
36685,36609.0
36688,36688.0
36689,36609.0
36691,36602.0
36693,36693.0
36695,36695.0
36425,36425.0
36439,36439.0
36444,36444.0
36445,36445.0
36449,36445.0
36457,36445.0
36458,36445.0
36460,36460.0
36461,36460.0
36470,36470.0
36471,36471.0
36480,36480.0
36481,36481.0
36013,36013.0
36036,36036.0
36043,36043.0
36046,36046.0
36052,36052.0
36057,36116.0
36064,36064.0
36065,36069.0
36069,36069.0
36101,36106.0
36102,36116.0
36103,36106.0
36104,36104.0
36105,36105.0
36106,36106.0
36107,36107.0
36108,36108.0
36109,36109.0
36110,36110.0
36111,36111.0
36112,36112.0
36113,36113.0
36114,36115.0
36115,36115.0
36116,36116.0
36117,36117.0
36118,36116.0
36119,36116.0
36120,36116.0
36121,36116.0
36123,36104.0
36124,36116.0
36125,36116.0
36130,36116.0
36131,36116.0
36132,36116.0
36135,36116.0
36140,36116.0
36141,36116.0
36142,36116.0
36177,36116.0
36191,36116.0
35601,35601.0
35602,35601.0
35603,35603.0
35609,35601.0
35619,35619.0
35621,35621.0
35622,35622.0
35640,35640.0
35670,35670.0
35673,35673.0
35699,35601.0
35754,35754.0
35775,35775.0
36756,36756.0
36786,36786.0
35442,35442.0
35447,35447.0
35461,35461.0
35466,35466.0
35471,35447.0
35481,35481.0
36005,36005.0
36010,36010.0
36035,36035.0
36079,36079.0
36081,36081.0
36082,36082.0
36263,36263.0
36274,36274.0
36276,36276.0
36278,36278.0
36280,36280.0
36851,36871.0
36856,36856.0
36858,36858.0
36859,36859.0
36860,36860.0
36867,36867.0
36868,36867.0
36869,36869.0
36870,36870.0
36871,36871.0
36875,36875.0
35004,35004.0
35052,35052.0
35054,35054.0
35112,35112.0
35120,35120.0
35125,35125.0
35128,35128.0
35131,35131.0
35135,35135.0
35146,35146.0
35182,35131.0
35953,35953.0
35987,35987.0
35007,35007.0
35040,35040.0
35043,35043.0
35051,35051.0
35078,35078.0
35080,35080.0
35114,35114.0
35115,35115.0
35124,35124.0
35137,35007.0
35143,35143.0
35144,35007.0
35147,35147.0
35176,35176.0
35178,35178.0
35185,35078.0
35186,35186.0
35187,35187.0
35242,35242.0
35459,35459.0
35460,35460.0
35464,35464.0
35470,35470.0
35477,35477.0
36901,36901.0
36907,36907.0
36925,36925.0
35014,35014.0
35032,35032.0
35044,35044.0
35096,35096.0
35149,35149.0
35150,35150.0
35151,35151.0
35160,35160.0
35161,35160.0
36268,36268.0
35010,35010.0
35011,35089.0
36023,36853.0
36256,36256.0
36850,36850.0
36853,36853.0
36861,36861.0
35401,35401.0
35402,35406.0
35403,35401.0
35404,35404.0
35405,35405.0
35406,35406.0
35407,35406.0
35440,35444.0
35444,35444.0
35446,35446.0
35449,35453.0
35452,35452.0
35453,35453.0
35456,35456.0
35457,35457.0
35458,35458.0
35463,35463.0
35468,35444.0
35473,35473.0
35475,35475.0
35476,35476.0
35478,35406.0
35480,35480.0
35482,35406.0
35486,35401.0
35487,35475.0
35490,35490.0
35038,35130.0
35062,35062.0
35063,35063.0
35130,35130.0
35148,35148.0
35501,35501.0
35502,35501.0
35503,35503.0
35504,35504.0
35549,35549.0
35550,35550.0
35554,35554.0
35560,35580.0
35573,35549.0
35578,35578.0
35579,35579.0
35580,35580.0
35584,35584.0
35587,35587.0
36513,36513.0
36518,36518.0
36529,36529.0
36538,36538.0
36539,36539.0
36548,36548.0
36553,36553.0
36556,36556.0
36558,36558.0
36569,36569.0
36581,36581.0
36583,36583.0
36584,36584.0
36585,36585.0
36435,36435.0
36720,36720.0
36722,36722.0
36723,36723.0
36726,36726.0
36728,36728.0
36741,36768.0
36751,36751.0
36753,36753.0
36766,36766.0
36768,36768.0
36769,36769.0
35540,35540.0
35541,35541.0
35551,35565.0
35553,35553.0
35565,35565.0
35572,35572.0
35575,35575.0
35577,35577.0
72003,72003.0
72026,72026.0
72038,72038.0
72042,72042.0
72048,72048.0
72055,72055.0
72073,72073.0
72140,72140.0
72160,72160.0
72166,72166.0
71635,71635.0
71642,71642.0
71646,71646.0
71658,71658.0
71661,71661.0
71663,71663.0
71676,71676.0
72537,72537.0
72544,72544.0
72617,72617.0
72623,72623.0
72626,72626.0
72635,72635.0
72642,72642.0
72651,72651.0
72653,72653.0
72654,72653.0
72658,72658.0
72659,72658.0
72711,72756.0
72712,72712.0
72713,72712.0
72714,72714.0
72715,72715.0
72716,72712.0
72718,72718.0
72719,72719.0
72722,72722.0
72732,72732.0
72733,72732.0
72734,72734.0
72736,72736.0
72739,72739.0
72745,72745.0
72747,72747.0
72751,72751.0
72756,72756.0
72757,72756.0
72758,72758.0
72761,72761.0
72768,72768.0
72260,72204.0
72601,72601.0
72602,72601.0
72611,72611.0
72615,72601.0
72630,72630.0
72633,72633.0
72644,72644.0
72662,72662.0
72682,72682.0
71631,71631.0
71647,71647.0
71651,71651.0
71671,71671.0
71744,71744.0
71745,71745.0
71766,71766.0
72613,72632.0
72616,72616.0
72631,72631.0
72632,72632.0
72638,72638.0
72660,72660.0
71638,71638.0
71640,71640.0
71653,71653.0
71721,71743.0
71728,71743.0
71743,71743.0
71772,71772.0
71920,71921.0
71921,71921.0
71923,71923.0
71962,71962.0
71998,71998.0
71999,71999.0
72422,72422.0
72424,72424.0
72430,72430.0
72435,72435.0
72441,72441.0
72453,72453.0
72454,72454.0
72456,72456.0
72461,72461.0
72464,72464.0
72470,72470.0
72044,72044.0
72067,72067.0
72130,72130.0
72131,72131.0
72179,72179.0
72523,72523.0
72530,72530.0
72543,72543.0
72545,72581.0
72546,72546.0
72581,72581.0
71652,71652.0
71660,71660.0
71665,71665.0
71740,71740.0
71752,71752.0
71753,71753.0
71754,71753.0
71770,71770.0
71861,71861.0
72027,72027.0
72030,72030.0
72063,72063.0
72080,72080.0
72107,72107.0
72110,72110.0
72127,72127.0
72156,72156.0
